# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

College_ID,Institute_Code,College_Name,Branch,CAP_Round,Category,Gender,Seat_Type,Home_University,Cutoff_Percentile,Cutoff_Rank,Annual_Fees,Intake
1,MH1001,"COEP Technological University, Pune",Chemical Engineering,CAP2,OPEN,Female,Home University,Shivaji University Kolhapur,96.74,31439,168000,60
1,MH1001,"COEP Technological University, Pune",Chemical Engineering,CAP1,VJ,Male,Home University,RTM Nagpur University,90.16,93768,178000,90
2,MH1002,"VJTI, Mumbai",Artificial Intelligence and Data Science,CAP1,SC,Male,Other Than Home University,SRTM Nanded University,93.16,65059,130000,120
2,MH1002,"VJTI, Mumbai",Artificial Intelligence and Data Science,CAP1,NT2,Female,TFWS,Shivaji University Kolhapur,94.3,54456,169000,30
2,MH1002,"VJTI, Mumbai",Artificial Intelligence and Data Science,CAP3,OBC,Male,TFWS,Shivaji University Kolhapur,98.16,17486,124000,30
2,MH1002,"VJTI, Mumbai",Civil Engineering,CAP2,VJ,Male,TFWS,Pune University (SPPU),89.42,100511,143000,30
2,MH1002,"VJTI, Mumbai",Civil Engineering,CAP3,OBC,Female,State Level,SRTM Nanded University,95.36,44526,148000,30
2,MH1002,"VJTI, Mumbai",Civil Engineering,CAP1,EWS,Female,Other Than Home University,SRTM Nanded University,94.4,53590,130000,30
2,MH1002,"VJTI, Mumbai",Mechanical Engineering,CAP1,OPEN,Male,Home University,Mumbai University,95.94,38756,149000,60
2,MH1002,"VJTI, Mumbai",Mechanical Engineering,CAP1,VJ,Male,Other Than Home University,RTM Nagpur University,92.92,67744,120000,60
2,MH1002,"VJTI, Mumbai",Mechanical Engineering,CAP2,NT2,Female,State Level,Pune University (SPPU),93.68,60429,178000,60
2,MH1002,"VJTI, Mumbai",Electronics and Telecommunication Engineering,CAP3,NT2,Female,Home University,RTM Nagpur University,95.2,45816,137000,30
2,MH1002,"VJTI, Mumbai",Electronics and Telecommunication Engineering,CAP3,SC,Female,Other Than Home University,SGB Amravati University,89.58,99150,161000,90
2,MH1002,"VJTI, Mumbai",Electronics and Telecommunication Engineering,CAP3,EWS,Male,Other Than Home University,Shivaji University Kolhapur,97.56,23306,138000,60
2,MH1002,"VJTI, Mumbai",Information Technology,CAP1,OPEN,Male,State Level,Mumbai University,97.78,21413,117000,60
2,MH1002,"VJTI, Mumbai",Information Technology,CAP1,ST,Female,Other Than Home University,Shivaji University Kolhapur,88.85,105962,175000,60
2,MH1002,"VJTI, Mumbai",Information Technology,CAP3,ST,Female,Home University,SRTM Nanded University,87.39,120071,126000,30
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Mechanical Engineering,CAP2,ST,Male,Home University,Mumbai University,85.15,141314,116000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Mechanical Engineering,CAP2,OBC,Female,Home University,Pune University (SPPU),95.34,44679,123000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Mechanical Engineering,CAP1,NT1,Female,TFWS,Shivaji University Kolhapur,92.59,70466,164000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Artificial Intelligence and Data Science,CAP2,NT2,Male,TFWS,RTM Nagpur University,95.95,38913,122000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Artificial Intelligence and Data Science,CAP3,ST,Female,TFWS,Pune University (SPPU),89.06,104426,121000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Artificial Intelligence and Data Science,CAP2,OBC,Male,Other Than Home University,Pune University (SPPU),96.69,31555,161000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Chemical Engineering,CAP2,NT1,Male,Home University,SGB Amravati University,93.81,59206,168000,90
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Chemical Engineering,CAP3,OPEN,Male,Home University,Pune University (SPPU),98.93,10566,172000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Chemical Engineering,CAP2,NT1,Male,Other Than Home University,RTM Nagpur University,91.05,85055,179000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Electrical Engineering,CAP3,VJ,Male,Home University,Mumbai University,92.16,74951,177000,60
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Electrical Engineering,CAP3,OPEN,Female,TFWS,Mumbai University,96.61,32301,118000,30
3,MH1003,ICT Mumbai (Institute of Chemical Technology),Electrical Engineering,CAP3,OPEN,Female,State Level,Pune University (SPPU),99.66,3437,125000,30
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Computer Engineering,CAP1,EWS,Male,Other Than Home University,Shivaji University Kolhapur,98.04,18687,148000,120
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Computer Engineering,CAP1,ST,Male,State Level,SRTM Nanded University,86.04,132938,122000,60
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Computer Engineering,CAP1,VJ,Male,Home University,Pune University (SPPU),93.97,57353,154000,60
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Civil Engineering,CAP2,VJ,Female,TFWS,RTM Nagpur University,92.05,75886,148000,30
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Civil Engineering,CAP3,EWS,Female,Home University,Pune University (SPPU),93.83,59034,148000,60
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Civil Engineering,CAP2,SC,Female,Home University,Shivaji University Kolhapur,87.25,121180,129000,90
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Chemical Engineering,CAP3,ST,Male,State Level,RTM Nagpur University,85.11,141919,116000,60
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Chemical Engineering,CAP2,VJ,Male,TFWS,Pune University (SPPU),92.43,71937,110000,90
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Chemical Engineering,CAP3,EWS,Male,Other Than Home University,RTM Nagpur University,98.02,18893,166000,30
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Mechanical Engineering,CAP1,NT1,Female,State Level,Mumbai University,94.19,55549,129000,30
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Mechanical Engineering,CAP2,OPEN,Male,Other Than Home University,Mumbai University,97.77,21261,165000,60
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Mechanical Engineering,CAP2,OBC,Female,State Level,Pune University (SPPU),93.92,58237,115000,90
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Electronics and Telecommunication Engineering,CAP3,ST,Female,TFWS,Pune University (SPPU),88.25,111834,129000,60
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Electronics and Telecommunication Engineering,CAP1,OBC,Female,Other Than Home University,SGB Amravati University,97.24,26233,132000,90
4,MH1004,"Sardar Patel Institute of Technology, Mumbai",Electronics and Telecommunication Engineering,CAP3,VJ,Female,Other Than Home University,Pune University (SPPU),94.17,55800,141000,90
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Information Technology,CAP2,ST,Male,Other Than Home University,Mumbai University,88.7,107796,139000,60
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Information Technology,CAP3,NT2,Male,State Level,Shivaji University Kolhapur,93.25,64294,145000,60
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Information Technology,CAP2,VJ,Female,Home University,Mumbai University,94.0,57205,178000,90
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Mechanical Engineering,CAP3,OBC,Female,State Level,SRTM Nanded University,96.25,35761,114000,60
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Mechanical Engineering,CAP2,EWS,Male,Other Than Home University,SRTM Nanded University,95.85,39828,150000,120
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Mechanical Engineering,CAP3,SC,Female,State Level,Mumbai University,87.95,114935,134000,90
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Computer Engineering,CAP2,NT1,Female,TFWS,Shivaji University Kolhapur,94.68,51025,152000,30
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Computer Engineering,CAP3,OPEN,Male,Home University,Shivaji University Kolhapur,99.99,464,148000,30
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Computer Engineering,CAP3,ST,Male,Other Than Home University,Pune University (SPPU),87.59,118101,147000,30
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Artificial Intelligence and Data Science,CAP3,ST,Male,Home University,SRTM Nanded University,88.72,107250,148000,120
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Artificial Intelligence and Data Science,CAP1,NT1,Female,Other Than Home University,SRTM Nanded University,93.99,57203,165000,30
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Artificial Intelligence and Data Science,CAP3,NT1,Male,Home University,SRTM Nanded University,94.06,56656,166000,60
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Chemical Engineering,CAP2,NT2,Female,Home University,Pune University (SPPU),92.21,74330,152000,60
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Chemical Engineering,CAP3,SC,Female,Other Than Home University,Mumbai University,88.41,110518,135000,60
5,MH1005,"PICT, Pune (Pune Institute of Computer Technology)",Chemical Engineering,CAP1,OBC,Male,State Level,SGB Amravati University,93.15,65318,119000,120
6,MH1006,"Walchand College of Engineering, Sangli",Mechanical Engineering,CAP3,NT1,Male,TFWS,Pune University (SPPU),93.18,65247,123000,120
6,MH1006,"Walchand College of Engineering, Sangli",Mechanical Engineering,CAP1,ST,Female,TFWS,Mumbai University,86.64,127277,176000,120
6,MH1006,"Walchand College of Engineering, Sangli",Mechanical Engineering,CAP3,SC,Male,State Level,Pune University (SPPU),88.47,109970,125000,120
6,MH1006,"Walchand College of Engineering, Sangli",Electrical Engineering,CAP3,NT2,Male,TFWS,SRTM Nanded University,94.48,52896,174000,120
6,MH1006,"Walchand College of Engineering, Sangli",Electrical Engineering,CAP2,VJ,Male,Home University,Shivaji University Kolhapur,93.8,59281,170000,120
6,MH1006,"Walchand College of Engineering, Sangli",Electrical Engineering,CAP1,NT2,Male,Home University,RTM Nagpur University,94.58,51632,176000,120
6,MH1006,"Walchand College of Engineering, Sangli",Artificial Intelligence and Data Science,CAP1,ST,Female,State Level,Shivaji University Kolhapur,88.58,108611,144000,90
6,MH1006,"Walchand College of Engineering, Sangli",Artificial Intelligence and Data Science,CAP3,EWS,Male,TFWS,RTM Nagpur University,97.11,27533,139000,120
6,MH1006,"Walchand College of Engineering, Sangli",Artificial Intelligence and Data Science,CAP1,NT2,Male,Home University,Shivaji University Kolhapur,95.56,42212,163000,120
6,MH1006,"Walchand College of Engineering, Sangli",Chemical Engineering,CAP1,NT2,Male,TFWS,SGB Amravati University,93.45,62424,112000,30
6,MH1006,"Walchand College of Engineering, Sangli",Chemical Engineering,CAP2,NT1,Female,Other Than Home University,SGB Amravati University,90.22,93091,148000,120
6,MH1006,"Walchand College of Engineering, Sangli",Chemical Engineering,CAP3,OPEN,Female,TFWS,Pune University (SPPU),98.12,18139,138000,120
6,MH1006,"Walchand College of Engineering, Sangli",Civil Engineering,CAP1,EWS,Male,State Level,SGB Amravati University,95.32,44803,161000,60
6,MH1006,"Walchand College of Engineering, Sangli",Civil Engineering,CAP1,NT1,Female,TFWS,SRTM Nanded University,93.62,60883,113000,120
6,MH1006,"Walchand College of Engineering, Sangli",Civil Engineering,CAP3,NT2,Female,State Level,SGB Amravati University,92.39,72338,164000,60
7,MH1007,VNIT Nagpur,Computer Engineering,CAP2,VJ,Male,Other Than Home University,SGB Amravati University,93.32,63911,158000,90
7,MH1007,VNIT Nagpur,Computer Engineering,CAP2,ST,Male,TFWS,Mumbai University,89.26,102270,112000,30
7,MH1007,VNIT Nagpur,Computer Engineering,CAP2,NT2,Male,State Level,Pune University (SPPU),93.87,58270,115000,60
7,MH1007,VNIT Nagpur,Electronics and Telecommunication Engineering,CAP1,ST,Male,Other Than Home University,Pune University (SPPU),85.29,140087,124000,30
7,MH1007,VNIT Nagpur,Electronics and Telecommunication Engineering,CAP2,OPEN,Male,State Level,SRTM Nanded University,99.53,4857,157000,60
7,MH1007,VNIT Nagpur,Electronics and Telecommunication Engineering,CAP3,SC,Male,TFWS,Shivaji University Kolhapur,92.56,71047,124000,60
7,MH1007,VNIT Nagpur,Mechanical Engineering,CAP3,OBC,Female,Other Than Home University,RTM Nagpur University,95.14,46661,158000,120
7,MH1007,VNIT Nagpur,Mechanical Engineering,CAP1,OPEN,Male,TFWS,RTM Nagpur University,95.8,40254,141000,60
7,MH1007,VNIT Nagpur,Mechanical Engineering,CAP2,EWS,Female,TFWS,Mumbai University,97.82,21018,125000,30
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Artificial Intelligence and Data Science,CAP2,VJ,Male,TFWS,RTM Nagpur University,92.21,74497,156000,120
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Artificial Intelligence and Data Science,CAP1,OPEN,Male,Other Than Home University,SRTM Nanded University,99.5,5126,176000,90
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Artificial Intelligence and Data Science,CAP3,NT1,Female,Other Than Home University,Shivaji University Kolhapur,95.82,39949,165000,30
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Electrical Engineering,CAP2,VJ,Male,Other Than Home University,SRTM Nanded University,93.74,59595,169000,30
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Electrical Engineering,CAP3,ST,Female,TFWS,Pune University (SPPU),85.78,135105,173000,90
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Electrical Engineering,CAP2,OBC,Male,TFWS,Shivaji University Kolhapur,94.13,56174,143000,90
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Electronics and Telecommunication Engineering,CAP1,EWS,Male,TFWS,Pune University (SPPU),96.74,31179,172000,30
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Electronics and Telecommunication Engineering,CAP3,OPEN,Male,Other Than Home University,Mumbai University,98.66,13095,172000,120
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Electronics and Telecommunication Engineering,CAP1,ST,Male,Home University,RTM Nagpur University,85.95,133682,141000,90
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Computer Engineering,CAP2,VJ,Female,TFWS,RTM Nagpur University,95.89,39327,152000,90
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Computer Engineering,CAP2,NT2,Female,Home University,RTM Nagpur University,94.06,56558,139000,60
8,MH1008,"Government College of Engineering, Pune (COEP old wing)",Computer Engineering,CAP1,VJ,Female,Home University,Pune University (SPPU),93.23,64695,178000,60
9,MH1009,"Government College of Engineering, Aurangabad",Chemical Engineering,CAP2,EWS,Female,Home University,RTM Nagpur University,85.7,135941,99000,60
9,MH1009,"Government College of Engineering, Aurangabad",Chemical Engineering,CAP3,OBC,Female,Home University,Shivaji University Kolhapur,82.59,165418,83000,30
9,MH1009,"Government College of Engineering, Aurangabad",Chemical Engineering,CAP3,ST,Male,Home University,Mumbai University,82.58,165817,111000,60
9,MH1009,"Government College of Engineering, Aurangabad",Electronics and Telecommunication Engineering,CAP2,EWS,Female,Home University,SGB Amravati University,88.55,109270,83000,90
9,MH1009,"Government College of Engineering, Aurangabad",Electronics and Telecommunication Engineering,CAP1,NT2,Female,Home University,SRTM Nanded University,89.84,96725,111000,60
9,MH1009,"Government College of Engineering, Aurangabad",Electronics and Telecommunication Engineering,CAP3,NT2,Female,Other Than Home University,Shivaji University Kolhapur,88.35,110753,89000,30
9,MH1009,"Government College of Engineering, Aurangabad",Electrical Engineering,CAP3,OBC,Male,State Level,Pune University (SPPU),90.71,88566,118000,30
9,MH1009,"Government College of Engineering, Aurangabad",Electrical Engineering,CAP3,ST,Female,TFWS,SRTM Nanded University,77.48,214405,108000,90
9,MH1009,"Government College of Engineering, Aurangabad",Electrical Engineering,CAP2,OBC,Female,TFWS,RTM Nagpur University,85.66,136548,83000,30
10,MH1010,"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,CAP1,EWS,Male,Other Than Home University,SGB Amravati University,95.18,45828,130000,60
10,MH1010,"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,CAP2,OBC,Male,State Level,Pune University (SPPU),95.19,45936,147000,60
10,MH1010,"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,CAP2,SC,Female,Home University,RTM Nagpur University,90.26,92889,168000,60
10,MH1010,"Vishwakarma Institute of Technology, Pune",Electrical Engineering,CAP2,ST,Female,Other Than Home University,Pune University (SPPU),84.75,144991,129000,90
10,MH1010,"Vishwakarma Institute of Technology, Pune",Electrical Engineering,CAP1,EWS,Male,Other Than Home University,RTM Nagpur University,95.53,42870,149000,30
10,MH1010,"Vishwakarma Institute of Technology, Pune",Electrical Engineering,CAP3,ST,Male,Other Than Home University,RTM Nagpur University,87.89,115270,125000,120
10,MH1010,"Vishwakarma Institute of Technology, Pune",Information Technology,CAP3,EWS,Female,State Level,Mumbai University,98.61,13430,120000,30
10,MH1010,"Vishwakarma Institute of Technology, Pune",Information Technology,CAP2,NT1,Male,TFWS,Mumbai University,95.36,44390,142000,60
10,MH1010,"Vishwakarma Institute of Technology, Pune",Information Technology,CAP1,EWS,Male,State Level,SRTM Nanded University,99.99,524,112000,90
11,MH1011,"MIT World Peace University, Pune",Electronics and Telecommunication Engineering,CAP3,NT2,Male,Home University,SGB Amravati University,93.5,62167,172000,60
11,MH1011,"MIT World Peace University, Pune",Electronics and Telecommunication Engineering,CAP2,EWS,Male,TFWS,Shivaji University Kolhapur,97.39,24959,123000,60
11,MH1011,"MIT World Peace University, Pune",Electronics and Telecommunication Engineering,CAP2,SC,Female,TFWS,Mumbai University,91.51,80802,161000,30
11,MH1011,"MIT World Peace University, Pune",Mechanical Engineering,CAP2,NT2,Male,State Level,Mumbai University,91.76,78776,161000,30
11,MH1011,"MIT World Peace University, Pune",Mechanical Engineering,CAP3,OBC,Male,TFWS,Pune University (SPPU),95.89,39282,162000,60
11,MH1011,"MIT World Peace University, Pune",Mechanical Engineering,CAP3,VJ,Male,Home University,Mumbai University,90.91,86743,173000,120
11,MH1011,"MIT World Peace University, Pune",Civil Engineering,CAP2,ST,Male,State Level,Mumbai University,84.51,147512,172000,60
11,MH1011,"MIT World Peace University, Pune",Civil Engineering,CAP3,EWS,Male,State Level,SRTM Nanded University,96.17,36507,130000,90
11,MH1011,"MIT World Peace University, Pune",Civil Engineering,CAP1,SC,Male,Home University,SGB Amravati University,88.95,105022,138000,60
12,MH1012,"Sinhgad College of Engineering, Pune",Electronics and Telecommunication Engineering,CAP2,EWS,Female,Other Than Home University,Pune University (SPPU),95.58,42115,109000,30
12,MH1012,"Sinhgad College of Engineering, Pune",Electronics and Telecommunication Engineering,CAP2,EWS,Male,State Level,Mumbai University,86.9,124756,112000,60
12,MH1012,"Sinhgad College of Engineering, Pune",Electronics and Telecommunication Engineering,CAP2,NT1,Female,Other Than Home University,SRTM Nanded University,89.3,102088,106000,90
12,MH1012,"Sinhgad College of Engineering, Pune",Mechanical Engineering,CAP3,EWS,Male,State Level,Pune University (SPPU),86.78,125890,117000,120
12,MH1012,"Sinhgad College of Engineering, Pune",Mechanical Engineering,CAP2,OPEN,Male,Home University,SRTM Nanded University,90.42,91186,101000,30
12,MH1012,"Sinhgad College of Engineering, Pune",Mechanical Engineering,CAP2,EWS,Female,Home University,SRTM Nanded University,88.51,109319,92000,60
12,MH1012,"Sinhgad College of Engineering, Pune",Electrical Engineering,CAP1,NT1,Male,Other Than Home University,RTM Nagpur University,83.8,154143,104000,120
12,MH1012,"Sinhgad College of Engineering, Pune",Electrical Engineering,CAP3,ST,Female,Other Than Home University,SRTM Nanded University,84.09,151398,82000,60
12,MH1012,"Sinhgad College of Engineering, Pune",Electrical Engineering,CAP3,NT1,Female,Home University,SRTM Nanded University,83.95,152526,108000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Computer Engineering,CAP2,SC,Male,TFWS,Shivaji University Kolhapur,82.72,164515,105000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Computer Engineering,CAP3,OBC,Male,Other Than Home University,SRTM Nanded University,93.45,62419,100000,120
13,MH1013,"D.Y. Patil College of Engineering, Pune",Computer Engineering,CAP1,NT2,Female,Home University,RTM Nagpur University,88.79,106615,98000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Electrical Engineering,CAP3,OBC,Male,TFWS,RTM Nagpur University,90.04,94671,108000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Electrical Engineering,CAP2,NT1,Female,TFWS,Shivaji University Kolhapur,90.24,92744,100000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Electrical Engineering,CAP2,OBC,Female,Home University,SGB Amravati University,86.42,129084,95000,30
13,MH1013,"D.Y. Patil College of Engineering, Pune",Information Technology,CAP1,SC,Female,TFWS,SGB Amravati University,85.2,140795,119000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Information Technology,CAP3,SC,Female,Other Than Home University,Shivaji University Kolhapur,80.07,189572,96000,120
13,MH1013,"D.Y. Patil College of Engineering, Pune",Information Technology,CAP3,SC,Female,State Level,RTM Nagpur University,78.6,203712,109000,90
13,MH1013,"D.Y. Patil College of Engineering, Pune",Mechanical Engineering,CAP2,SC,Female,Home University,SGB Amravati University,87.36,120234,107000,90
13,MH1013,"D.Y. Patil College of Engineering, Pune",Mechanical Engineering,CAP2,OBC,Male,Other Than Home University,Pune University (SPPU),83.69,155142,110000,60
13,MH1013,"D.Y. Patil College of Engineering, Pune",Mechanical Engineering,CAP2,NT2,Male,Home University,Mumbai University,85.79,135289,98000,90
14,MH1014,"Cummins College of Engineering for Women, Pune",Artificial Intelligence and Data Science,CAP3,NT2,Female,TFWS,Shivaji University Kolhapur,95.93,38777,134000,30
14,MH1014,"Cummins College of Engineering for Women, Pune",Artificial Intelligence and Data Science,CAP3,EWS,Female,Home University,RTM Nagpur University,99.75,2768,127000,60
14,MH1014,"Cummins College of Engineering for Women, Pune",Artificial Intelligence and Data Science,CAP3,ST,Female,Other Than Home University,SRTM Nanded University,85.95,133878,166000,60
14,MH1014,"Cummins College of Engineering for Women, Pune",Electronics and Telecommunication Engineering,CAP2,VJ,Female,State Level,Pune University (SPPU),92.07,75548,132000,60
14,MH1014,"Cummins College of Engineering for Women, Pune",Electronics and Telecommunication Engineering,CAP3,SC,Male,Home University,Shivaji University Kolhapur,92.22,74098,177000,30
14,MH1014,"Cummins College of Engineering for Women, Pune",Electronics and Telecommunication Engineering,CAP1,OBC,Male,TFWS,RTM Nagpur University,94.8,49823,171000,90
14,MH1014,"Cummins College of Engineering for Women, Pune",Computer Engineering,CAP1,VJ,Male,TFWS,SRTM Nanded University,92.55,71270,138000,120
14,MH1014,"Cummins College of Engineering for Women, Pune",Computer Engineering,CAP2,OBC,Female,State Level,SRTM Nanded University,95.35,44378,111000,90
14,MH1014,"Cummins College of Engineering for Women, Pune",Computer Engineering,CAP1,NT2,Male,TFWS,SGB Amravati University,94.77,50030,143000,30
14,MH1014,"Cummins College of Engineering for Women, Pune",Civil Engineering,CAP2,VJ,Female,TFWS,Pune University (SPPU),88.9,105902,151000,30
14,MH1014,"Cummins College of Engineering for Women, Pune",Civil Engineering,CAP3,OBC,Female,Other Than Home University,RTM Nagpur University,92.05,75947,169000,90
14,MH1014,"Cummins College of Engineering for Women, Pune",Civil Engineering,CAP2,ST,Female,Other Than Home University,SGB Amravati University,83.26,159053,114000,90
14,MH1014,"Cummins College of Engineering for Women, Pune",Electrical Engineering,CAP3,OBC,Female,State Level,SGB Amravati University,93.83,58848,157000,30
14,MH1014,"Cummins College of Engineering for Women, Pune",Electrical Engineering,CAP3,OBC,Female,Home University,SGB Amravati University,96.19,36275,163000,60
14,MH1014,"Cummins College of Engineering for Women, Pune",Electrical Engineering,CAP3,ST,Female,State Level,RTM Nagpur University,85.89,134533,145000,60
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Mechanical Engineering,CAP3,VJ,Female,State Level,SGB Amravati University,93.02,66641,155000,60
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Mechanical Engineering,CAP2,OBC,Female,Home University,RTM Nagpur University,93.24,64283,168000,60
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Mechanical Engineering,CAP1,VJ,Female,TFWS,Shivaji University Kolhapur,92.0,76306,112000,60
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Chemical Engineering,CAP1,ST,Female,TFWS,Pune University (SPPU),86.44,129104,136000,30
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Chemical Engineering,CAP1,SC,Male,Home University,Pune University (SPPU),88.48,109515,110000,90
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Chemical Engineering,CAP1,ST,Male,State Level,RTM Nagpur University,85.31,139963,132000,60
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Artificial Intelligence and Data Science,CAP2,OPEN,Male,TFWS,Pune University (SPPU),99.99,217,151000,60
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Artificial Intelligence and Data Science,CAP2,SC,Male,Home University,Mumbai University,90.0,95380,163000,30
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Artificial Intelligence and Data Science,CAP3,OPEN,Male,Other Than Home University,SRTM Nanded University,98.05,18755,156000,30
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Information Technology,CAP3,OBC,Female,Other Than Home University,SGB Amravati University,94.67,51036,176000,90
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Information Technology,CAP3,NT2,Male,Other Than Home University,SGB Amravati University,96.26,35561,171000,120
15,MH1015,"Thadomal Shahani Engineering College, Mumbai",Information Technology,CAP3,ST,Female,Home University,Mumbai University,85.92,134124,166000,60
16,MH1016,"K.J. Somaiya College of Engineering, Mumbai",Electronics and Telecommunication Engineering,CAP2,VJ,Male,Other Than Home University,RTM Nagpur University,92.77,68906,122000,60
